run_id,vars,clauses,reps,seed,split_var,fixed,force_unsat,simulate_ms,repetition,worker_rank,split_value,worker_sat,worker_compute_sec,nodes_visited,clause_checks,max_rss_kb,rep_global_sat
20260311_123856,30,126,20,7,1,0,0,0,0,1,0,0,0.0868954,87801,8023633,11332,0
20260311_123856,30,126,20,7,1,0,0,0,0,2,1,0,0.110387,113979,10064043,11296,0
20260311_123856,30,126,20,7,1,0,0,0,1,1,0,0,0.136465,87831,8345003,11460,0
20260311_123856,30,126,20,7,1,0,0,0,1,2,1,0,0.223176,157215,15530263,11424,0
20260311_123856,30,126,20,7,1,0,0,0,2,2,1,0,0.161904,177895,16455438,11424,1
20260311_123856,30,126,20,7,1,0,0,0,2,1,0,1,0.24161,263829,24704339,11460,1
20260311_123856,30,126,20,7,1,0,0,0,3,2,1,1,0.029149,28034,2485924,11424,1
20260311_123856,30,126,20,7,1,0,0,0,3,1,0,0,0.0320987,22459,2022737,11460,1
20260311_123856,30,126,20,7,1,0,0,0,4,2,1,0,0.116234,107835,10302929,11424,0
20260311_123856,30,126,20,7,1,0,0,0,4,1,0,0,0.138811,133009,12831912,11460,0
20260311_123856,30,126,20,7,1,0,0,0,5,2,1,1,0.0238502,14157,1281202,11424,1
20260311_123856,30,126,20,7,1,0,0,0,5,1,0,0,0.22809,163175,14874666,11460,1
20260311_123856,30,126,20,7,1,0,0,0,6,2,1,1,0.00720715,8439,731061,11424,1
20260311_123856,30,126,20,7,1,0,0,0,6,1,0,1,0.0192815,18613,1680388,11460,1
20260311_123856,30,126,20,7,1,0,0,0,7,1,0,1,0.0117767,11631,1123587,11460,1
20260311_123856,30,126,20,7,1,0,0,0,7,2,1,1,0.0330696,34671,3180457,11424,1
20260311_123856,30,126,20,7,1,0,0,0,8,1,0,1,0.00130072,1232,118606,11460,1
20260311_123856,30,126,20,7,1,0,0,0,8,2,1,1,0.0976346,101675,9480622,11424,1
20260311_123856,30,126,20,7,1,0,0,0,9,2,1,0,0.0562271,55471,4867932,11424,0
20260311_123856,30,126,20,7,1,0,0,0,9,1,0,0,0.0703715,80875,7274589,11460,0
20260311_123856,30,126,20,7,1,0,0,0,10,2,1,0,0.084921,71015,6637063,11424,0
20260311_123856,30,126,20,7,1,0,0,0,10,1,0,0,0.105917,84709,7916134,11460,0
20260311_123856,30,126,20,7,1,0,0,0,11,2,1,0,0.138412,116391,10949490,11424,1
20260311_123856,30,126,20,7,1,0,0,0,11,1,0,1,0.139605,107426,10326348,11460,1
20260311_123856,30,126,20,7,1,0,0,0,12,1,0,0,0.0375763,33553,3105827,11460,0
20260311_123856,30,126,20,7,1,0,0,0,12,2,1,0,0.131002,119215,11353692,11424,0
20260311_123856,30,126,20,7,1,0,0,0,13,2,1,0,0.204605,182685,16261633,11424,0
20260311_123856,30,126,20,7,1,0,0,0,13,1,0,0,0.455729,421081,37255433,11460,0
20260311_123856,30,126,20,7,1,0,0,0,14,1,0,0,0.0596995,52309,4890864,11460,0
20260311_123856,30,126,20,7,1,0,0,0,14,2,1,0,0.0746282,64813,6084708,11424,0
20260311_123856,30,126,20,7,1,0,0,0,15,2,1,1,0.0190097,14675,1405042,11424,1
20260311_123856,30,126,20,7,1,0,0,0,15,1,0,0,0.174018,145719,13721004,11460,1
20260311_123856,30,126,20,7,1,0,0,0,16,1,0,0,0.0452033,32907,3098076,11460,0
20260311_123856,30,126,20,7,1,0,0,0,16,2,1,0,0.0850768,73179,6675098,11424,0
20260311_123856,30,126,20,7,1,0,0,0,17,2,1,0,0.130323,110527,9906911,11424,0
20260311_123856,30,126,20,7,1,0,0,0,17,1,0,0,0.295563,279045,24881339,11460,0
20260311_123856,30,126,20,7,1,0,0,0,18,1,0,1,0.0152042,2063,202562,11460,1
20260311_123856,30,126,20,7,1,0,0,0,18,2,1,0,0.158156,54167,5010022,11424,1
20260311_123856,30,126,20,7,1,0,0,0,19,1,0,1,0.00141738,1198,120922,11460,1
20260311_123856,30,126,20,7,1,0,0,0,19,2,1,0,0.0401938,27179,2596768,11424,1
20260311_124310,30,126,20,7,1,0,0,0,0,1,0,0,0.0886533,87801,8023633,11332,0
20260311_124310,30,126,20,7,1,0,0,0,0,2,1,0,0.109934,113979,10064043,11332,0
20260311_124310,30,126,20,7,1,0,0,0,1,1,0,0,0.0959101,87831,8345003,11460,0
20260311_124310,30,126,20,7,1,0,0,0,1,2,1,0,0.179626,157215,15530263,11460,0
20260311_124310,30,126,20,7,1,0,0,0,2,2,1,0,0.158381,177895,16455438,11460,1
20260311_124310,30,126,20,7,1,0,0,0,2,1,0,1,0.274672,263829,24704339,11460,1
20260311_124310,30,126,20,7,1,0,0,0,3,2,1,1,0.0284111,28034,2485924,11460,1
20260311_124310,30,126,20,7,1,0,0,0,3,1,0,0,0.0562293,22459,2022737,11460,1
20260311_124310,30,126,20,7,1,0,0,0,4,2,1,0,0.115505,107835,10302929,11460,0
20260311_124310,30,126,20,7,1,0,0,0,4,1,0,0,0.14638,133009,12831912,11460,0
20260311_124310,30,126,20,7,1,0,0,0,5,2,1,1,0.0154073,14157,1281202,11460,1
20260311_124310,30,126,20,7,1,0,0,0,5,1,0,0,0.176351,163175,14874666,11460,1
20260311_124310,30,126,20,7,1,0,0,0,6,2,1,1,0.00737372,8439,731061,11460,1
20260311_124310,30,126,20,7,1,0,0,0,6,1,0,1,0.0454338,18613,1680388,11460,1
20260311_124310,30,126,20,7,1,0,0,0,7,1,0,1,0.0176354,11631,1123587,11460,1
20260311_124310,30,126,20,7,1,0,0,0,7,2,1,1,0.0338283,34671,3180457,11460,1
20260311_124310,30,126,20,7,1,0,0,0,8,1,0,1,0.00133358,1232,118606,11460,1
20260311_124310,30,126,20,7,1,0,0,0,8,2,1,1,0.0980707,101675,9480622,11460,1
20260311_124310,30,126,20,7,1,0,0,0,9,2,1,0,0.0482413,55471,4867932,11460,0
20260311_124310,30,126,20,7,1,0,0,0,9,1,0,0,0.072194,80875,7274589,11460,0
20260311_124310,30,126,20,7,1,0,0,0,10,2,1,0,0.0760009,71015,6637063,11460,0
20260311_124310,30,126,20,7,1,0,0,0,10,1,0,0,0.116744,84709,7916134,11460,0
20260311_124310,30,126,20,7,1,0,0,0,11,2,1,0,0.129243,116391,10949490,11460,1
20260311_124310,30,126,20,7,1,0,0,0,11,1,0,1,0.125442,107426,10326348,11460,1
20260311_124310,30,126,20,7,1,0,0,0,12,1,0,0,0.0341598,33553,3105827,11460,0
20260311_124310,30,126,20,7,1,0,0,0,12,2,1,0,0.13188,119215,11353692,11460,0
20260311_124310,30,126,20,7,1,0,0,0,13,2,1,0,0.228799,182685,16261633,11460,0
20260311_124310,30,126,20,7,1,0,0,0,13,1,0,0,0.52658,421081,37255433,11460,0
20260311_124310,30,126,20,7,1,0,0,0,14,1,0,0,0.0683988,52309,4890864,11460,0
20260311_124310,30,126,20,7,1,0,0,0,14,2,1,0,0.0824023,64813,6084708,11460,0
20260311_124310,30,126,20,7,1,0,0,0,15,2,1,1,0.0246396,14675,1405042,11460,1
20260311_124310,30,126,20,7,1,0,0,0,15,1,0,0,0.210013,145719,13721004,11460,1
20260311_124310,30,126,20,7,1,0,0,0,16,1,0,0,0.0418243,32907,3098076,11460,0
20260311_124310,30,126,20,7,1,0,0,0,16,2,1,0,0.0854957,73179,6675098,11460,0
20260311_124310,30,126,20,7,1,0,0,0,17,2,1,0,0.133704,110527,9906911,11460,0
20260311_124310,30,126,20,7,1,0,0,0,17,1,0,0,0.323261,279045,24881339,11460,0
20260311_124310,30,126,20,7,1,0,0,0,18,1,0,1,0.00815287,2063,202562,11460,1
20260311_124310,30,126,20,7,1,0,0,0,18,2,1,0,0.0850584,54167,5010022,11460,1
20260311_124310,30,126,20,7,1,0,0,0,19,1,0,1,0.00157251,1198,120922,11460,1
20260311_124310,30,126,20,7,1,0,0,0,19,2,1,0,0.0489989,27179,2596768,11460,1
