run_id,vars,clauses,reps,seed,split_var,fixed,force_unsat,simulate_ms,repetition,worker_rank,split_value,worker_sat,worker_compute_sec,nodes_visited,clause_checks,max_rss_kb,rep_global_sat
20260311_132829,50,250,20,7,1,0,0,0,0,2,1,0,18.2361,10248673,1975784212,11200,0
20260311_132829,50,250,20,7,1,0,0,0,0,1,0,0,19.2717,11086725,2042107614,11204,0
20260311_132829,50,250,20,7,1,0,0,0,1,1,0,0,5.55884,2781981,498388010,11204,0
20260311_132829,50,250,20,7,1,0,0,0,1,2,1,0,11.953,8348385,1478880162,11328,0
20260311_132829,50,250,20,7,1,0,0,0,2,2,1,0,12.2835,12017845,2339783256,11328,0
20260311_132829,50,250,20,7,1,0,0,0,2,1,0,0,16.547,8752069,1698218773,11204,0
20260311_132829,50,250,20,7,1,0,0,0,3,2,1,0,10.3453,10561013,1925259325,11328,0
20260311_132829,50,250,20,7,1,0,0,0,3,1,0,0,18.6788,10483273,1907991572,11204,0
20260311_132829,50,250,20,7,1,0,0,0,4,1,0,0,8.73115,4122479,769339101,11204,0
20260311_132829,50,250,20,7,1,0,0,0,4,2,1,0,10.5388,9681189,1770516210,11328,0
20260311_132829,50,250,20,7,1,0,0,0,5,2,1,0,5.28733,5141801,873178415,11328,0
20260311_132829,50,250,20,7,1,0,0,0,5,1,0,0,33.692,18559525,3195221412,11204,0
20260311_132829,50,250,20,7,1,0,0,0,6,2,1,0,2.84694,2746463,501253849,11328,0
20260311_132829,50,250,20,7,1,0,0,0,6,1,0,0,16.5481,8939997,1618510703,11204,0
20260311_132829,50,250,20,7,1,0,0,0,7,2,1,0,4.39271,4181113,761462281,11328,0
20260311_132829,50,250,20,7,1,0,0,0,7,1,0,0,5.95087,2994131,552176923,11204,0
20260311_132829,50,250,20,7,1,0,0,0,8,2,1,0,14.8852,13733951,2578613088,11328,0
20260311_132829,50,250,20,7,1,0,0,0,8,1,0,0,49.5457,25203499,4813450010,11204,0
20260311_132829,50,250,20,7,1,0,0,0,9,2,1,0,5.31771,4990105,891821217,11328,0
20260311_132829,50,250,20,7,1,0,0,0,9,1,0,0,9.73143,5088633,930183596,11204,0
20260311_132829,50,250,20,7,1,0,0,0,10,2,1,0,8.44082,7053867,1304466106,11328,0
20260311_132829,50,250,20,7,1,0,0,0,10,1,0,0,8.61862,4014475,726779655,11204,0
20260311_132829,50,250,20,7,1,0,0,0,11,1,0,0,21.7571,10477135,1818846151,11204,0
20260311_132829,50,250,20,7,1,0,0,0,11,2,1,0,27.0429,23697793,4091814501,11328,0
20260311_132829,50,250,20,7,1,0,0,0,12,2,1,0,21.6367,18324575,3443037937,11328,0
20260311_132829,50,250,20,7,1,0,0,0,12,1,0,0,27.9295,13833747,2523769082,11204,0
20260311_132829,50,250,20,7,1,0,0,0,13,1,0,1,2.91104,1462719,254740314,11204,1
20260311_132829,50,250,20,7,1,0,0,0,13,2,1,0,21.5962,18001847,3224106792,11328,1
20260311_132829,50,250,20,7,1,0,0,0,14,2,1,0,10.5529,9149165,1683304639,11328,0
20260311_132829,50,250,20,7,1,0,0,0,14,1,0,0,18.4978,9525677,1705003105,11204,0
20260311_132829,50,250,20,7,1,0,0,0,15,2,1,0,38.6328,32237279,6080829114,11328,0
20260311_132829,50,250,20,7,1,0,0,0,15,1,0,0,93.4977,43715213,8282434636,11204,0
20260311_132829,50,250,20,7,1,0,0,0,16,2,1,0,0.521625,468717,83918850,11328,0
20260311_132829,50,250,20,7,1,0,0,0,16,1,0,0,1.31166,643347,116889960,11204,0
20260311_132829,50,250,20,7,1,0,0,0,17,2,1,0,32.3187,26451969,4870954867,11328,0
20260311_132829,50,250,20,7,1,0,0,0,17,1,0,0,38.3383,17388149,3186460626,11204,0
20260311_132829,50,250,20,7,1,0,0,0,18,2,1,0,20.6243,17208547,3058395785,11328,0
20260311_132829,50,250,20,7,1,0,0,0,18,1,0,0,39.4787,17917355,3185701908,11204,0
20260311_132829,50,250,20,7,1,0,0,0,19,2,1,0,11.6471,10508599,1893555203,11328,0
20260311_132829,50,250,20,7,1,0,0,0,19,1,0,0,39.3741,20396095,3777186150,11204,0
