run_id,vars,clauses,reps,seed,split_var,fixed,force_unsat,simulate_ms,repetition,worker_rank,split_value,worker_sat,worker_compute_sec,nodes_visited,clause_checks,max_rss_kb,rep_global_sat
20260311_134432,40,180,20,7,1,0,0,0,0,2,1,0,2.34566,3053497,400392552,11160,0
20260311_134432,40,180,20,7,1,0,0,0,0,1,0,0,3.0284,2044179,278028310,11324,0
20260311_134432,40,180,20,7,1,0,0,0,1,2,1,1,0.326508,389078,49425487,11160,1
20260311_134432,40,180,20,7,1,0,0,0,1,1,0,0,1.38761,914883,115376586,11452,1
20260311_134432,40,180,20,7,1,0,0,0,2,2,1,0,2.64555,3852255,499958073,11160,0
20260311_134432,40,180,20,7,1,0,0,0,2,1,0,0,4.58687,3317985,436731714,11452,0
20260311_134432,40,180,20,7,1,0,0,0,3,1,0,0,0.862175,629661,80768037,11452,0
20260311_134432,40,180,20,7,1,0,0,0,3,2,1,0,1.41234,1934607,254860663,11160,0
20260311_134432,40,180,20,7,1,0,0,0,4,2,1,1,0.858107,1116052,147581041,11160,1
20260311_134432,40,180,20,7,1,0,0,0,4,1,0,0,2.35035,1731427,221362683,11452,1
20260311_134432,40,180,20,7,1,0,0,0,5,2,1,0,0.711694,965827,121359796,11160,0
20260311_134432,40,180,20,7,1,0,0,0,5,1,0,0,1.53721,1091693,139905331,11452,0
20260311_134432,40,180,20,7,1,0,0,0,6,1,0,0,0.133052,107157,13720710,11452,0
20260311_134432,40,180,20,7,1,0,0,0,6,2,1,0,0.151755,231859,29814486,11160,0
20260311_134432,40,180,20,7,1,0,0,0,7,1,0,1,0.344893,242554,33176643,11452,1
20260311_134432,40,180,20,7,1,0,0,0,7,2,1,1,0.359587,509325,65899895,11160,1
20260311_134432,40,180,20,7,1,0,0,0,8,2,1,0,1.00355,1416927,188702876,11160,0
20260311_134432,40,180,20,7,1,0,0,0,8,1,0,0,3.14036,2446217,323512043,11452,0
20260311_134432,40,180,20,7,1,0,0,0,9,1,0,1,0.131194,94377,12474970,11452,1
20260311_134432,40,180,20,7,1,0,0,0,9,2,1,0,0.393444,287561,38685950,11160,1
20260311_134432,40,180,20,7,1,0,0,0,10,1,0,0,1.1934,778803,100548633,11452,0
20260311_134432,40,180,20,7,1,0,0,0,10,2,1,0,1.326,1602453,208780126,11160,0
20260311_134432,40,180,20,7,1,0,0,0,11,1,0,0,1.31633,766385,99630744,11452,0
20260311_134432,40,180,20,7,1,0,0,0,11,2,1,0,1.39615,1464959,197234403,11160,0
20260311_134432,40,180,20,7,1,0,0,0,12,2,1,0,0.343702,431269,54267455,11160,0
20260311_134432,40,180,20,7,1,0,0,0,12,1,0,0,0.442139,316661,40107379,11452,0
20260311_134432,40,180,20,7,1,0,0,0,13,2,1,0,1.7577,2241191,279757503,11160,0
20260311_134432,40,180,20,7,1,0,0,0,13,1,0,0,4.35725,2898613,400095470,11452,0
20260311_134432,40,180,20,7,1,0,0,0,14,2,1,0,1.51752,1933159,253708193,11160,0
20260311_134432,40,180,20,7,1,0,0,0,14,1,0,0,2.99193,2088689,269209917,11452,0
20260311_134432,40,180,20,7,1,0,0,0,15,2,1,0,0.981721,1209657,164104427,11160,0
20260311_134432,40,180,20,7,1,0,0,0,15,1,0,0,1.9777,1270511,173546558,11452,0
20260311_134432,40,180,20,7,1,0,0,0,16,2,1,0,0.518858,574567,75186647,11160,0
20260311_134432,40,180,20,7,1,0,0,0,16,1,0,0,1.6128,1022999,134919074,11452,0
20260311_134432,40,180,20,7,1,0,0,0,17,2,1,1,1.75013,2118459,287788918,11160,1
20260311_134432,40,180,20,7,1,0,0,0,17,1,0,0,4.41347,2861811,384400818,11452,1
20260311_134432,40,180,20,7,1,0,0,0,18,2,1,1,0.0750324,98838,12050476,11160,1
20260311_134432,40,180,20,7,1,0,0,0,18,1,0,1,0.285217,129044,15663044,11452,1
20260311_134432,40,180,20,7,1,0,0,0,19,2,1,0,1.20919,1524839,198347383,11160,0
20260311_134432,40,180,20,7,1,0,0,0,19,1,0,0,2.311,1524011,200325447,11452,0
